Name,Position,League,Goals,Assists,xG,xA,Mins
Taylor Brown,Winger,Premier League,6,3,10.85,3.45,2659
Alexis Wilson,Winger,Premier League,10,2,10.83,18.45,1652
Stephanie Vega,Winger,Premier League,3,5,8.52,16.54,2701
Justin Taylor,Winger,Premier League,11,6,23.92,9.35,2946
Matthew Kerr,Striker,Premier League,13,11,20.5,13.79,998
Lisa Lucero,Striker,Premier League,4,3,7.47,9.29,3026
Judy Campbell,Winger,Premier League,5,4,13.88,17.46,2926
Matthew Lewis,Winger,Premier League,9,2,15.08,21.12,3014
Heidi Harper,Winger,Premier League,5,9,8.74,9.99,1052
Taylor Miller,Striker,Premier League,7,6,16.21,18.38,1277
Mark Roberson,Striker,Premier League,5,8,13.26,15.53,1416
Michelle Page,Winger,Premier League,12,2,13.67,8.84,1022
Johnny Elliott,Winger,Premier League,9,10,25.48,6.61,977
Cheryl Martinez,Striker,Premier League,14,10,11.37,9.71,1393
Jacob Jackson,Striker,Premier League,3,7,22.25,15.88,1503
Kelsey Hodge,Striker,Premier League,13,8,18.4,19.59,1472
Sheena Patel,Striker,Premier League,15,6,20.78,15.91,3389
Crystal Nixon,Winger,Premier League,8,9,19.84,18.81,2070
Gary Williamson,Striker,Premier League,11,8,20.03,12.2,1999
Daniel Stokes,Striker,Premier League,4,5,26.05,17.39,2322
John Patterson,Winger,Premier League,7,5,19.94,16.38,3093
Jeffery Smith,Striker,Premier League,11,9,19.3,9,2143
Tammy Ponce,Striker,Premier League,4,5,24.36,13.18,2528
Jesse Terry,Striker,Premier League,8,2,19.12,17.52,985
Stacy Walsh,Winger,Premier League,14,7,11.8,3.96,2217
James Boyer,Striker,Premier League,5,12,9.29,18,1079
Tyler Campbell,Winger,Premier League,4,9,8.24,6.29,2387
Andrea Carrillo,Winger,Premier League,4,2,24.77,11.12,990
Kimberly Moore,Striker,Premier League,11,5,22.5,17.43,2401
Valerie Martin,Striker,Premier League,13,9,26.07,7.03,2701
Dr. Eddie Michael,Striker,Premier League,4,7,20.81,6.81,1451
Tyler Carpenter,Striker,Premier League,8,6,15.95,9.01,2049
Patrick Dennis,Winger,Premier League,4,4,7.07,19.1,1210
Paula Harvey,Striker,Premier League,8,4,23.41,3.14,2458
Stephanie Rush,Striker,Premier League,14,4,18.74,17.35,2429
Tyler Davis,Striker,Premier League,8,11,31.45,5.89,2637
Nicole Carter,Winger,Premier League,7,5,11.65,21.49,1061
Briana Johnston,Striker,Premier League,3,7,20.05,17.72,1593
Robert Stewart,Striker,Premier League,15,2,21.69,10.8,3309
Jesse Owen,Winger,Premier League,9,5,19.35,12.31,1678
John Anderson,Winger,Premier League,9,6,19.59,10.69,2135
Kathleen Lopez,Striker,Premier League,13,8,25.03,14.14,930
Charlotte Green,Striker,Premier League,17,10,10.4,4.16,1262
Jonathan Hendricks,Striker,Premier League,12,8,22.25,3.52,2509
Donna Price,Striker,Premier League,10,3,21.96,4.17,3160
Donald Lin,Striker,Premier League,9,3,29.92,10.94,1700
Gwendolyn Gibson,Winger,Premier League,5,4,24.7,8.16,933
Tammy Lewis,Winger,Premier League,6,11,11.82,14.59,1070
Timothy White,Striker,Premier League,13,9,11.18,20.96,2635
Dr. Paul Vazquez,Striker,Premier League,19,12,31.43,9.9,1012
Ashley Stephens,Winger,Premier League,17,8,18.82,11.56,2406
Amanda Morrison,Striker,Premier League,13,9,28.41,10.14,2677
Christopher Nicholson,Striker,Premier League,14,2,8.92,15.79,1195
Susan Lane,Striker,Premier League,13,6,21.4,19.47,2930
Adam Boyer,Striker,Premier League,16,4,24.28,17.28,1005
Robert Keith,Striker,Premier League,13,3,28.55,19.8,1305
Craig Stephens,Winger,Premier League,4,9,14.22,3.32,1728
Christopher Williams,Striker,Premier League,12,8,25.35,18.26,756
Margaret Oneal,Striker,Premier League,9,5,20.07,17,3187
Casey Hill,Striker,Premier League,18,8,7.09,6.75,2357
Kristen Carlson,Winger,Premier League,8,5,21.81,20.66,3095
Deborah Zimmerman,Winger,Premier League,13,9,22.11,5.26,1883
Cheryl Cunningham,Winger,Premier League,4,5,29.43,14.65,908
Robert Simmons,Winger,Premier League,14,2,18.9,7.31,2293
Henry Steele,Striker,Premier League,3,4,9.99,9.97,2354
Angela Smith,Winger,Premier League,9,6,5.87,16.61,1841
Thomas Bartlett,Striker,Premier League,8,3,14.28,11.63,2540
Angela Long,Striker,Premier League,11,9,12.12,13.47,2495
Elizabeth Williamson,Winger,Premier League,4,9,13.75,5.78,2741
Alan Garza,Striker,Premier League,18,10,25.63,11.04,726
Crystal Allen,Striker,Premier League,6,5,20.71,9.07,2907
Kristin Williams DVM,Striker,Premier League,8,9,24.47,17.82,1283
Jacqueline Jacobson,Winger,Premier League,8,5,16.28,13.46,1831
Angela Murphy,Winger,Premier League,13,3,21.94,12.37,2254
Matthew Bradley,Winger,Premier League,4,5,11.77,5.08,1611
William Moore,Striker,Premier League,14,9,22.44,12.29,2908
Christopher Stanley,Winger,Premier League,13,7,16.77,5.47,2084
Mary Fernandez,Striker,Premier League,14,5,14.82,8.18,1330
Terri Garcia,Striker,Premier League,15,5,20.19,5.37,2795
Joshua Mcdonald,Winger,Premier League,14,3,30.27,14.73,1078
Jeremy Duke,Striker,Premier League,13,10,6.44,6.92,2064
Stephen Gonzalez,Striker,Premier League,12,10,28.09,8.89,3193
Catherine Brennan,Striker,Premier League,6,2,12.23,17.97,2920
Betty Day,Winger,Premier League,3,3,17.04,6.64,3224
Kathleen Cummings,Striker,Premier League,16,4,5.44,10.97,1106
Jordan Sullivan,Striker,Premier League,11,6,12.34,10.39,1599
Catherine Fields,Winger,Premier League,9,3,17.16,3.59,1370
Angela Moss,Striker,Premier League,5,8,6.68,18.12,1249
Joseph Burke,Striker,Premier League,9,4,17.44,3.78,1870
Robin Hudson,Winger,Premier League,14,3,30.68,10.48,1039
Fernando Thompson,Striker,Premier League,6,2,7.25,12.05,2653
Nicolas Herring,Striker,Premier League,3,10,22.18,13.4,3320
Kristin Foster,Striker,Premier League,5,5,14.91,13.95,953
Victor Murphy,Striker,Premier League,14,8,21.88,6.88,888
Jennifer Hernandez,Striker,Premier League,6,8,12.34,3.46,2717
Lindsay Pierce,Winger,Premier League,3,6,8.71,16.58,1692
Rebecca Wells,Winger,Premier League,16,6,9.29,11.01,2650
Alan Burke,Winger,Premier League,12,2,6.56,16.66,893
Tammy Moran,Winger,Premier League,7,10,9.87,16.64,1668
Sarah Fernandez,Striker,Premier League,15,3,23.27,16.43,2404
Veronica Davis PhD,Striker,Premier League,6,9,25.59,11.54,1575
Jose Johnson,Striker,Premier League,4,6,24.86,8.91,1881
Stephanie Frey,Striker,Premier League,11,3,24.31,17.61,3191
Scott Johnson,Striker,Premier League,7,4,8.33,11.18,2530
Samantha Blanchard,Winger,Premier League,5,5,12.39,6.17,1511
Stephanie Allen,Winger,Premier League,3,11,12.79,18.07,2784
Walter Clay,Striker,Premier League,13,4,10.77,17.19,1857
Dustin Pierce,Striker,Premier League,17,7,17.94,11.13,3154
Ashley Franklin,Striker,Premier League,6,10,19.67,4.28,860
Steve Avila,Winger,Premier League,13,5,14.44,8.89,895
Tiffany Gutierrez,Striker,Premier League,10,11,13.26,15.8,1171
Evelyn Allen,Striker,Premier League,18,9,24.17,17.57,1395
Mrs. Katherine Myers DDS,Striker,Premier League,13,11,23.57,7.01,3151
Cynthia Clark,Winger,Premier League,11,11,11.85,3.92,3038
Nicole Roberts DDS,Striker,Premier League,9,4,25.59,17.16,1879
Joshua Combs,Winger,Premier League,9,7,28.35,9.37,1172
Melissa Nguyen,Winger,Premier League,8,10,12.15,12.61,1346
Mr. William Reilly,Winger,Premier League,7,2,12.95,17.97,2265
Jacqueline Lane,Winger,Premier League,12,9,17.81,4.5,2277
Aaron Stanton,Winger,Premier League,4,7,26.62,15.05,2397
Pamela Ford,Winger,Premier League,6,8,24.56,4.33,1366
Anthony Cruz,Striker,Premier League,7,10,7.28,9.71,1957
Linda Cochran,Striker,Premier League,7,3,13.99,15.05,2623
Todd Wilson,Striker,Premier League,6,5,18.89,10.04,1001
Thomas Hernandez,Winger,Premier League,16,8,16.18,21.13,2172
Donald Wilkinson II,Striker,Premier League,14,7,10.35,11.44,1088
Arthur Romero,Winger,Premier League,9,2,28.62,8.09,885
Lisa Brown,Winger,Premier League,16,5,22.99,6.85,807
Pamela Green,Winger,Premier League,12,7,26.12,8.52,985
Zachary Bryant,Striker,Premier League,12,5,28.38,10.14,2488
Robyn Watts,Winger,Premier League,7,3,24.63,3.86,2825
Brittany Henry,Winger,Premier League,4,9,14.42,9.83,1809
Ashley Jackson,Striker,Premier League,9,4,19.83,10.91,1640
Misty Chambers,Striker,Premier League,4,8,9.64,16.06,2240
Jennifer Thompson,Winger,Premier League,5,3,21.17,13.62,2847
Michelle Orozco,Winger,Premier League,15,7,8.6,15.09,2356
Jeremy Walker,Striker,Premier League,4,9,23.45,3.36,1027
Alexa Woods,Striker,Premier League,11,3,11.39,6.66,1653
Michael Schmidt,Striker,Premier League,7,3,7.4,13.85,1897
Jeffrey Sparks,Winger,Premier League,10,8,9.2,11.31,3221
Hannah Dalton,Striker,Premier League,7,2,4.74,3.22,2919
Joseph Griffin,Striker,Premier League,13,9,23.98,16.49,3074
Timothy Brown,Striker,Premier League,5,3,22.24,17.56,2168
Kelli Ruiz,Winger,Premier League,17,7,17.21,11.81,1120
Cory Gilbert,Striker,Premier League,8,10,9.65,4.11,2203
Johnny Page,Striker,Premier League,12,3,7.06,16.85,1127
Michael Arnold,Striker,Premier League,8,7,5.67,13.41,3079
Carlos Ayala,Striker,Premier League,14,4,8.96,17.47,2394
Alyssa Compton,Striker,Premier League,16,5,26.17,17.35,1779
Karen Lambert,Winger,Premier League,4,11,11.32,16.41,2858
Richard Rojas,Winger,Premier League,13,8,12.9,10.89,1114
Jason Johnson,Winger,Premier League,4,4,7.44,4.88,1521
Toni Mcbride,Striker,Premier League,4,8,9.95,15.06,2399
Henry White,Winger,Premier League,4,5,18.68,14.56,2780
Carmen Frank,Winger,Premier League,5,3,21.98,14.75,1123
Barbara Wheeler,Winger,Premier League,13,6,12.23,5.49,1895
Caleb Moreno DVM,Striker,Premier League,9,7,6.38,5.76,2898
Jessica Taylor,Striker,Premier League,7,11,14.05,19.31,3081
Kaylee Gutierrez,Winger,Premier League,3,9,10.74,15.16,833
Alexander Leonard,Winger,Premier League,11,4,11.22,18.08,3144
Joseph Gonzalez,Striker,Premier League,7,8,27.29,15.91,1496
Jim Olson,Striker,Premier League,8,3,22.26,14.04,893
Brian Brown,Winger,Premier League,5,7,18.32,14.55,1742
David Lee,Striker,Premier League,4,5,16.89,18.54,2344
Shannon Jones,Winger,Premier League,5,10,16.78,12.01,3006
Makayla Robinson,Striker,Premier League,4,7,19.66,13.79,1758
Kristi Hamilton,Winger,Premier League,15,6,21.59,5.9,1164
Leslie Mendez,Winger,Premier League,4,4,30.24,5.93,1168
Brenda Castillo,Striker,Premier League,10,4,24.72,7.25,2621
Jessica Garza,Striker,Premier League,11,9,19.9,5.4,2571
James Brown,Striker,Premier League,4,7,4.91,17.91,1640
Brenda Pitts,Winger,Premier League,5,3,25.61,17.27,1028
Carmen Sparks,Striker,Premier League,15,9,23.7,11.46,1486
Angela Prince,Striker,Premier League,6,6,20.74,16.7,3385
Charles Wolfe,Winger,Premier League,4,8,22.63,7.42,2264
Kristin Hernandez,Striker,Premier League,5,3,16.38,13.82,1522
Anthony Thomas,Striker,Premier League,8,10,20.63,17.49,2622
David Dominguez,Striker,Premier League,7,9,28.91,8.19,1895
Christopher Robinson Jr.,Striker,Premier League,9,5,15.34,17.22,1941
Christy Page,Striker,Premier League,8,7,24.33,8.78,1308
Sarah Flores DVM,Winger,Premier League,11,8,16.77,7.63,2003
Steven Smith,Winger,Premier League,13,5,23.1,4.54,2434
Nathan Harmon,Striker,Premier League,9,3,26.22,11.01,3137
Thomas Irwin,Striker,Premier League,8,8,5.86,14.65,1167
Phillip White,Striker,Premier League,16,10,20.74,20.48,746
Jacob Smith,Winger,Premier League,14,10,11.59,13.46,1308
Brandi Rojas,Winger,Premier League,15,6,21.05,17.14,1597
Joseph Mann,Striker,Premier League,16,3,18.09,18.11,2817
Gary Fitzgerald,Striker,Premier League,13,9,26.68,5.94,3153
Angela Martinez,Winger,Premier League,9,7,8.35,12.19,2586
Lauren Holt,Striker,Premier League,6,9,21.97,5.42,2734
Charles Sandoval,Winger,Premier League,12,3,12.56,13.62,2196
Tiffany Garza,Winger,Premier League,11,3,27.37,17.24,2146
Derek Sparks,Striker,Premier League,14,7,27.12,5.85,2851
Sarah Fox DVM,Winger,Premier League,11,7,27.26,16.74,1143
Austin Robertson,Striker,Premier League,9,4,24.12,12.53,2550
Lisa Hill,Striker,Premier League,5,10,24.64,13.78,2607
Ashley Baker,Striker,Premier League,15,8,9.56,9.55,2415
Kristen Odom,Striker,Premier League,17,9,12.09,8.6,1903
Corey Hurley,Striker,Premier League,7,2,15.44,4.06,2789
Alexis Rich,Striker,Premier League,8,2,25.38,6.29,859
Jeffery Ballard,Winger,Premier League,16,4,30.51,3.55,2930
Debra Peterson,Winger,Premier League,10,6,10.67,12.12,1737
Antonio Holland,Winger,Premier League,7,4,28.03,4.91,1806
Laura Chan,Winger,Premier League,11,8,24.04,16.85,3157
Alex Stevens,Striker,Premier League,10,10,21.23,12,1392
Holly Kelly,Winger,Premier League,14,8,10,15.44,1674
Perry White,Winger,Premier League,6,6,6.48,9.36,2767
Michelle Norton,Winger,Premier League,12,5,17.82,12.58,2402
Mario Hernandez,Striker,Premier League,11,10,23.15,18.91,1197
Rebecca Page,Winger,Premier League,15,8,9.97,4.03,2469
Tiffany Williams,Striker,Premier League,7,8,18.71,7.79,2754
Sean Ruiz,Winger,Premier League,18,8,27.32,15.73,1425
John Butler,Striker,Premier League,13,8,25.02,4.75,883
Lori Weaver,Striker,Premier League,8,6,26.8,4.3,2346
Maria Frye,Winger,Premier League,4,7,14.52,9.17,1316
Kimberly Taylor,Striker,Premier League,14,7,11.72,4.21,2575
Thomas Watson,Striker,Premier League,8,12,24.79,12.75,2008
Michael Gray,Winger,Premier League,11,5,15.82,6.78,1999
Candace Jones,Winger,Premier League,4,4,7.34,19.08,1182
Jessica Smith,Winger,Premier League,18,9,12.39,17.43,1949
Alyssa Kim,Striker,Premier League,14,4,15.54,15.02,2681
Rebecca Roberts,Striker,Premier League,5,6,12.51,12.38,1891
Patricia Watkins,Striker,Premier League,11,3,13.8,16.75,1888
Lauren Patton,Winger,Premier League,15,5,12.96,6.33,1343
Aaron Salinas,Striker,Premier League,12,6,6.31,16.5,1472
Philip Powell,Striker,Premier League,5,9,22.48,15.98,915
Anthony Wheeler,Striker,Premier League,16,6,18.69,14.87,1435
Jessica Robertson,Striker,Premier League,6,6,20.91,11.83,881
Haley Graham,Striker,Premier League,5,9,10.69,6.55,2957
Lisa Johnson,Striker,Premier League,7,6,12.13,9.22,2963
David Smith,Striker,Premier League,8,4,18.95,15.18,2278
Jeffrey White,Winger,Premier League,9,10,20.09,3.31,1563
Brian Gallegos,Winger,Premier League,10,3,16.28,16.07,3384
Charles Taylor,Winger,Premier League,7,11,12.94,7.09,1463
Jenna Ortiz,Striker,Premier League,12,10,30.59,5.06,3038
Jay Marsh,Striker,Premier League,13,2,13.6,4.9,771
Robert Baker,Winger,Premier League,6,11,15.68,3.35,1705
Anthony Payne,Striker,Premier League,7,6,24.12,11.15,1737
Lisa Petersen,Winger,Premier League,7,4,20.31,6.05,2093
Angela Fuller,Striker,Premier League,12,9,13.51,19.69,1314
Mary Williams,Striker,Premier League,5,7,15.13,13.24,1769
Robert Mason,Winger,Premier League,13,5,26.54,5.05,1153
Lawrence Savage,Winger,Premier League,4,10,12.47,13.63,3358
Stacey Hart,Winger,Premier League,6,4,8.88,19.67,964
Monica Ross,Winger,Premier League,5,6,13.84,14.96,2654
Ana Kaufman,Winger,Premier League,16,7,27.23,4.06,1199
Nicole Dickerson,Striker,Premier League,7,5,6.91,19.53,3036
Eileen Bridges,Striker,Premier League,3,9,30.95,17.55,2502
Carol Fletcher,Striker,Premier League,10,3,17.81,5.63,2095
Diane Cannon,Winger,Premier League,10,2,31.16,3.87,3186
Jason Jackson,Winger,Premier League,7,5,29.15,11.77,3439
William Jarvis,Winger,Premier League,8,5,14.94,5.17,2696
Sheila Mcintosh,Winger,Premier League,9,2,9.99,17.44,995
James Martin,Winger,Premier League,8,6,8.83,8.36,2267
Brandon Palmer,Winger,Premier League,11,4,10.62,18.33,1977
Jacqueline Thomas,Striker,Premier League,5,3,23.22,13.73,2611
Luis Lawrence,Striker,Premier League,10,2,11.4,6.66,1353
Mr. Jonathan Smith,Striker,Premier League,12,2,14.29,5.09,1095
Joseph Gonzalez,Striker,Premier League,13,9,14.83,13.12,2517
William Montoya,Striker,Premier League,3,7,28.72,15.87,1803
Mr. Jonathan Cruz DDS,Winger,Premier League,10,7,10.33,17.51,2030
Jennifer Gregory,Winger,Premier League,7,3,5.31,7.34,1660
Joseph Johnson,Winger,Premier League,4,9,6.5,5.83,3043
Isabel Flowers,Winger,Premier League,7,5,30.11,3.06,2910
Shawn Taylor,Winger,Premier League,10,6,20.34,14.11,1141
Riley Anderson,Winger,Premier League,14,8,10.69,4.14,1406
Jill Sutton,Winger,Premier League,5,5,17.13,11.09,3305
Christine Butler,Striker,Premier League,14,4,19.63,8.4,2089
Lisa Cole,Striker,Premier League,7,9,26.09,7.28,1825
Alyssa Weaver,Striker,Premier League,8,5,16.08,8.31,2787
Barbara Patterson,Winger,Premier League,10,9,24.1,16.35,2931
Andrew Willis,Winger,Premier League,10,4,18.14,13.61,3000
Erika Stevenson,Striker,Premier League,13,3,8.78,17.92,2446
Christina Kim,Winger,Premier League,10,10,5.81,19.61,2284
Brittany Johnson,Striker,Premier League,11,9,13.59,11.06,1382
Courtney Morris,Striker,Premier League,11,2,17.84,3.81,906
Brandon Washington,Striker,Premier League,11,7,24.36,3.74,2067
Adam Keller,Striker,Premier League,5,5,8.19,7.61,2842
Lisa Browning,Winger,Premier League,6,11,23.89,17.02,920
Chad Jordan,Winger,Premier League,4,6,27.81,11.56,2795
Joel Gibson,Winger,Premier League,14,2,8.03,6.99,1155
William Kirk,Winger,Premier League,9,10,27.15,9.31,2313
Tracey Ferguson DVM,Striker,Premier League,6,6,28.23,12.11,3086
Hunter Jones,Winger,Premier League,13,6,23.12,12.97,1840
Brianna Harris,Striker,Premier League,13,5,23.57,5.28,3220
James Leonard,Winger,Premier League,8,7,31.19,21.57,1323
Ryan Long,Winger,Premier League,8,10,21.93,11.04,2532
Raymond Butler,Winger,Premier League,10,3,13.76,5.46,3289
Shirley Harmon,Striker,Premier League,9,9,26.37,16.88,731
Michael Smith,Striker,Premier League,16,2,20.21,4.63,1829
Matthew Washington,Striker,Premier League,13,2,20.77,16.93,3300
Laura Hurst,Striker,Premier League,5,9,11.76,21.75,1975
Patricia Jimenez,Winger,Premier League,9,12,22.4,15.24,2017
Ashlee Conner,Striker,Premier League,6,2,7.49,14.49,2752
Amy Dunn,Striker,Premier League,15,12,27.71,9.42,2383
Michael Walton,Winger,Premier League,5,5,12.33,19.09,2217
Ricardo Baker,Winger,Premier League,10,9,7.83,11.44,1453
Sharon Velazquez,Striker,Premier League,12,6,15.31,16.28,892
Craig Grant,Winger,Premier League,6,3,6.08,20.31,1577
Michael Dorsey DDS,Striker,Premier League,11,10,20.94,19.52,1763
Courtney Smith,Winger,Premier League,11,8,25.49,16.53,1089
Jessica Bass,Striker,Premier League,7,4,23.98,8.62,1545
Christopher Larson,Striker,Premier League,7,9,8.32,20.14,2523
Diana Allen,Striker,Premier League,13,3,8.54,14.74,2325
Kimberly Harper,Striker,Premier League,19,9,24.44,19.54,1830
Caroline Fleming,Striker,Premier League,7,11,25.49,13.75,1483
John Ramos,Winger,Premier League,4,7,15.29,8.93,2266
Tina Harris,Striker,Premier League,12,3,18.92,8.56,964
Joshua Johnson,Striker,Premier League,4,11,12.94,11.79,1379
Lori Moss,Striker,Premier League,14,10,27.11,16.5,2350
Omar Evans,Striker,Premier League,11,4,19.17,8.52,2072
Juan Rodriguez,Striker,Premier League,17,12,12.77,11.61,838
Nicole Beltran,Winger,Premier League,16,3,12.54,9.38,1022
Dylan Carroll,Winger,Premier League,11,8,25.65,16.4,2970
Amanda White,Striker,Premier League,8,8,4.92,10.73,1770
Dawn Odom,Winger,Premier League,7,3,12.77,4.57,2159
Brian Rivera,Striker,Premier League,19,7,20.13,5.68,2350
Christina Chavez,Winger,Premier League,14,3,9.35,3.67,1119
Elizabeth Calderon,Winger,Premier League,6,2,7.45,10.75,2132
Alexis Stanley,Striker,Premier League,6,3,26.53,5.25,1803
April Crosby,Winger,Premier League,3,9,25.25,4.52,3058
Lisa Holt,Winger,Premier League,12,5,26.04,18.45,3163
William Huffman,Striker,Premier League,12,5,28.39,17.85,1221
Terry Miller,Striker,Premier League,6,7,17.7,10.68,1685
Michael Brown,Winger,Premier League,4,12,27.23,17.8,1381
Olivia Carter,Winger,Premier League,11,9,13.71,3,1495
Randy Morales,Winger,Premier League,13,8,20.85,13.13,1754
Dr. Jeffrey Martin,Striker,Premier League,4,10,30.44,14.75,2983
Matthew Hawkins,Winger,Premier League,14,8,10.93,10.05,2439
Emily Stewart,Winger,Premier League,11,8,15.34,9.47,2617
Kimberly Medina,Winger,Premier League,6,3,15.68,10.57,2192
Christy Phillips,Striker,Premier League,17,7,9.04,9.83,1164
Rachel Johnson,Striker,Premier League,12,8,7.08,15.93,2831
Richard Matthews,Striker,Premier League,11,5,25.59,5,1947
Barbara Martinez,Striker,Premier League,6,8,32.25,6.01,3185
Norma Jackson,Winger,Premier League,8,5,15.85,6.35,2259
Erik Juarez,Striker,Premier League,6,5,6.64,7.46,2511
Ashley Hill,Winger,Premier League,16,6,6.99,11.73,918
Dr. Susan Terry,Winger,Premier League,14,9,25.07,4.57,2633
Chelsey Moore,Winger,Premier League,6,5,15.03,16.65,2282
Brittany Green,Winger,Premier League,8,2,12.75,7.27,2134
Ashley Rogers,Striker,Premier League,18,9,18.58,5.29,911
Bryan Lowe,Striker,Premier League,12,10,12.12,14.65,1019
Tina Kent,Striker,Premier League,15,8,17.82,3.94,857
Sean Brown,Striker,Premier League,17,3,24.76,12.96,2090
Lisa Hodges,Striker,Premier League,9,9,20.7,14.36,1075
Angel Morgan,Winger,Premier League,4,9,22.39,6.14,1028
Michael Carney,Striker,Premier League,12,3,14.63,3.63,1608
Stephen Phillips,Striker,Premier League,15,10,22.07,8.33,1126
Susan Cruz,Striker,Premier League,7,8,22.73,5.07,3241
Carlos Watkins,Striker,Premier League,16,8,8.78,5.15,3007
Christine Martinez,Winger,Premier League,8,9,19.96,8.04,2131
Rebecca Fernandez,Winger,Premier League,5,9,11.41,8.63,1127
Victoria Gutierrez,Winger,Premier League,6,9,27.22,11.95,2104
Mr. Scott Miller,Winger,Premier League,9,11,14.13,14.59,1665
Scott Williams,Winger,Premier League,4,9,31.24,12.27,1605
Stephanie Rodriguez,Striker,Premier League,9,4,7.88,5.48,2805
Victoria Cook,Winger,Premier League,7,5,22.36,6.41,2401
Leah White,Winger,Premier League,9,7,21.62,16.33,2144
Ruben Lewis,Winger,Premier League,10,11,22.76,13.4,2043
Thomas Thompson,Striker,Premier League,7,3,12.86,17.22,1460
Michael Everett,Striker,Premier League,5,3,17.82,10.06,2745
Debra Hunt,Winger,Premier League,17,4,23.93,14.63,818
John Robertson,Striker,Premier League,8,9,10.72,12.31,786
Danielle Osborne,Striker,Premier League,5,5,10.18,8.71,1950
Christina Martinez,Winger,Premier League,18,7,18.29,10.89,3265
