Name,Position,League,Goals,Assists,xG,xA,Mins
Robert Sanchez,Striker,Bundesliga,5,6,6.04,18.63,2720
Shane Castillo,Winger,Bundesliga,8,6,14.94,5.99,2190
Olivia Johnson,Winger,Bundesliga,7,4,24.06,6.64,839
Donald Rodriguez,Winger,Bundesliga,6,5,16.37,3.22,2782
Taylor Brown,Winger,Bundesliga,12,5,11.68,3.24,3036
Alexis Wilson,Winger,Bundesliga,13,3,10.5,17.1,1793
Stephanie Vega,Winger,Bundesliga,6,8,8.29,15.45,2812
Justin Taylor,Winger,Bundesliga,18,10,26.43,9.04,3383
Matthew Kerr,Striker,Bundesliga,18,14,19.38,14.87,1089
Lisa Lucero,Striker,Bundesliga,8,5,6.91,9.72,3280
Judy Campbell,Winger,Bundesliga,10,7,14.56,19.2,3318
Matthew Lewis,Winger,Bundesliga,15,3,14.19,19.44,3475
Heidi Harper,Winger,Bundesliga,7,12,9.54,9.68,1078
Taylor Miller,Striker,Bundesliga,12,9,15.89,17.52,1380
Mark Roberson,Striker,Bundesliga,7,12,13.3,16.14,1662
Michelle Page,Winger,Bundesliga,18,3,13.55,8.27,1053
Johnny Elliott,Winger,Bundesliga,17,14,23.48,6.94,980
Cheryl Martinez,Striker,Bundesliga,17,13,10.58,10.79,1480
Jacob Jackson,Striker,Bundesliga,6,11,21.05,16.28,1624
Kelsey Hodge,Striker,Bundesliga,17,10,19.27,19.32,1499
Sheena Patel,Striker,Bundesliga,23,9,19.2,15.98,3413
Crystal Nixon,Winger,Bundesliga,10,12,21.58,17.54,2149
Gary Williamson,Striker,Bundesliga,20,9,18.71,13.25,2180
Daniel Stokes,Striker,Bundesliga,6,7,26.98,17.2,2473
John Patterson,Winger,Bundesliga,12,7,21.89,16.34,3238
Jeffery Smith,Striker,Bundesliga,21,13,18.67,9.41,2438
Tammy Ponce,Striker,Bundesliga,6,7,25.74,12.38,2757
Jesse Terry,Striker,Bundesliga,14,3,20.15,16.68,1011
Stacy Walsh,Winger,Bundesliga,20,10,12.28,3.78,2338
James Boyer,Striker,Bundesliga,10,14,10.18,16.74,1183
Tyler Campbell,Winger,Bundesliga,6,13,8.81,6.02,2514
Andrea Carrillo,Winger,Bundesliga,6,3,27.49,11.75,1141
Kimberly Moore,Striker,Bundesliga,17,6,22.75,16.74,2638
Valerie Martin,Striker,Bundesliga,19,11,28.43,7.31,2787
Dr. Eddie Michael,Striker,Bundesliga,6,11,20.08,7.18,1643
Tyler Carpenter,Striker,Bundesliga,11,7,16.84,9.85,2334
Patrick Dennis,Winger,Bundesliga,7,6,6.49,18.21,1219
Paula Harvey,Striker,Bundesliga,12,5,21.79,3.01,2788
Stephanie Rush,Striker,Bundesliga,18,5,19.56,18.32,2732
Tyler Davis,Striker,Bundesliga,11,14,29.76,5.61,2649
Nicole Carter,Winger,Bundesliga,11,7,10.98,19.83,1105
Briana Johnston,Striker,Bundesliga,5,12,18.27,19.23,1668
Robert Stewart,Striker,Bundesliga,21,3,21.27,11.41,3384
Jesse Owen,Winger,Bundesliga,13,7,21.11,11.72,1935
John Anderson,Winger,Bundesliga,17,8,19.03,11.19,2234
Kathleen Lopez,Striker,Bundesliga,23,9,24.42,13.8,1005
Charlotte Green,Striker,Bundesliga,23,14,10.12,4.54,1295
Jonathan Hendricks,Striker,Bundesliga,21,11,23.14,3.55,2709
Donna Price,Striker,Bundesliga,14,5,20.49,3.98,3351
Donald Lin,Striker,Bundesliga,14,4,27.4,10.55,1845
Gwendolyn Gibson,Winger,Bundesliga,8,5,26.18,7.68,1012
Tammy Lewis,Winger,Bundesliga,12,14,12.88,13.57,1109
Timothy White,Striker,Bundesliga,24,11,11.91,19.87,2791
Dr. Paul Vazquez,Striker,Bundesliga,24,14,29.54,9.57,1071
Ashley Stephens,Winger,Bundesliga,22,9,18.18,12.76,2622
Amanda Morrison,Striker,Bundesliga,18,11,27.66,10.07,2879
Christopher Nicholson,Striker,Bundesliga,22,4,9.1,17.4,1242
Susan Lane,Striker,Bundesliga,18,7,21.07,18.34,3009
Adam Boyer,Striker,Bundesliga,24,6,25.25,17.92,1053
Robert Keith,Striker,Bundesliga,19,4,28.68,19.56,1320
Craig Stephens,Winger,Bundesliga,8,11,13.43,3.47,1776
Christopher Williams,Striker,Bundesliga,17,11,23.12,17.28,809
Margaret Oneal,Striker,Bundesliga,12,8,18.47,15.78,3352
Casey Hill,Striker,Bundesliga,22,13,6.52,6.89,2383
Kristen Carlson,Winger,Bundesliga,16,8,22.25,19.26,3283
Deborah Zimmerman,Winger,Bundesliga,18,10,22.25,5.52,1934
Cheryl Cunningham,Winger,Bundesliga,6,8,28.27,14.55,952
Robert Simmons,Winger,Bundesliga,22,3,17.43,6.82,2458
Henry Steele,Striker,Bundesliga,6,6,10.76,10.33,2656
Angela Smith,Winger,Bundesliga,15,9,6.11,15.23,2014
Thomas Bartlett,Striker,Bundesliga,13,4,15.39,12.58,2552
