Name,Position,League,Goals,Assists,xG,xA,Mins
John Butler,Striker,Championship,18,13,25.88,4.68,986
Lori Weaver,Striker,Championship,15,8,28.18,4.29,2543
Maria Frye,Winger,Championship,6,8,14.15,9.15,1531
Kimberly Taylor,Striker,Championship,22,10,12.95,4.57,2735
Thomas Watson,Striker,Championship,11,14,23.74,12.95,2013
Michael Gray,Winger,Championship,16,7,15.78,6.85,2211
Candace Jones,Winger,Championship,6,5,7.19,18.23,1228
Jessica Smith,Winger,Championship,24,14,12.07,16.32,2107
Alyssa Kim,Striker,Championship,22,5,15.46,14.89,3084
Rebecca Roberts,Striker,Championship,10,8,12.31,13.49,2017
Patricia Watkins,Striker,Championship,14,4,13.31,17.68,2110
Lauren Patton,Winger,Championship,24,8,12.34,6.79,1570
Aaron Salinas,Striker,Championship,19,8,6.04,17.84,1557
Philip Powell,Striker,Championship,9,10,20.93,16.42,935
Anthony Wheeler,Striker,Championship,24,9,19.93,15.72,1591
Jessica Robertson,Striker,Championship,7,10,21.33,12.54,970
Haley Graham,Striker,Championship,9,11,9.81,7.19,3006
Lisa Johnson,Striker,Championship,12,8,12.39,10.2,3048
David Smith,Striker,Championship,12,5,20.49,16.49,2380
Jeffrey White,Winger,Championship,12,12,19.99,3.54,1761
Brian Gallegos,Winger,Championship,16,5,17.66,16.29,3430
Charles Taylor,Winger,Championship,12,13,13.76,7.08,1675
Jenna Ortiz,Striker,Championship,15,14,27.82,5.45,3218
Jay Marsh,Striker,Championship,18,3,13.49,4.97,902
Robert Baker,Winger,Championship,12,13,16.39,3.46,1801
Anthony Payne,Striker,Championship,14,7,21.95,11.9,1948
Lisa Petersen,Winger,Championship,11,6,18.58,6.71,2281
Angela Fuller,Striker,Championship,21,11,13.67,19.82,1457
Mary Williams,Striker,Championship,8,11,15.89,12.77,2020
Robert Mason,Winger,Championship,17,7,24.86,5.34,1222
Lawrence Savage,Winger,Championship,8,12,11.95,14.71,3419
Stacey Hart,Winger,Championship,9,6,8.56,18.26,970
Monica Ross,Winger,Championship,8,9,12.83,15.67,3020
Ana Kaufman,Winger,Championship,22,8,26.24,4.3,1252
Nicole Dickerson,Striker,Championship,10,6,7.22,18.23,3197
Eileen Bridges,Striker,Championship,6,12,29.79,16.5,2775
Carol Fletcher,Striker,Championship,15,4,18.53,5.69,2457
Diane Cannon,Winger,Championship,18,3,29.62,3.88,3341
Jason Jackson,Winger,Championship,9,6,28.47,12.47,3467
William Jarvis,Winger,Championship,10,6,16.32,5.65,2853
Sheila Mcintosh,Winger,Championship,14,3,9.96,17.19,1087
James Martin,Winger,Championship,12,8,9.12,9.09,2441
Brandon Palmer,Winger,Championship,18,6,11,18.52,2247
Jacqueline Thomas,Striker,Championship,7,3,22.75,12.62,2713
Luis Lawrence,Striker,Championship,16,3,11.82,6.11,1407
Mr. Jonathan Smith,Striker,Championship,20,3,13.54,5.37,1256
Joseph Gonzalez,Striker,Championship,21,10,16.22,12.8,2564
William Montoya,Striker,Championship,5,12,27.83,15.95,2025
Mr. Jonathan Cruz DDS,Winger,Championship,14,10,9.73,16.29,2035
Jennifer Gregory,Winger,Championship,14,4,5.13,7.69,1829
Joseph Johnson,Winger,Championship,6,13,6.5,6.47,3471
Isabel Flowers,Winger,Championship,13,9,27.62,3.28,3223
Shawn Taylor,Winger,Championship,17,10,21.19,14.55,1246
Riley Anderson,Winger,Championship,20,10,11.83,4.3,1634
