Name,Position,League,Goals,Assists,xG,xA,Mins
Ashley Hill,Winger,Liga Portugal,23,8,6.65,11.93,943
Dr. Susan Terry,Winger,Liga Portugal,23,11,27.28,4.89,2686
Chelsey Moore,Winger,Liga Portugal,10,6,16.6,17.76,2502
Brittany Green,Winger,Liga Portugal,10,4,13,8.06,2235
Ashley Rogers,Striker,Liga Portugal,24,13,16.91,5.76,1023
Bryan Lowe,Striker,Liga Portugal,19,13,12.96,14.49,1019
Tina Kent,Striker,Liga Portugal,19,11,17.23,3.65,978
Sean Brown,Striker,Liga Portugal,24,4,26.49,13.54,2454
Lisa Hodges,Striker,Liga Portugal,13,12,19.81,14.87,1232
Angel Morgan,Winger,Liga Portugal,8,11,22.37,6.65,1064
Michael Carney,Striker,Liga Portugal,22,4,14.12,3.71,1753
Stephen Phillips,Striker,Liga Portugal,22,14,23.46,9.18,1228
Susan Cruz,Striker,Liga Portugal,9,10,21.67,4.68,3263
Carlos Watkins,Striker,Liga Portugal,24,11,7.99,4.98,3044
Christine Martinez,Winger,Liga Portugal,15,14,19.32,7.32,2377
Rebecca Fernandez,Winger,Liga Portugal,9,12,11.42,8.02,1279
Victoria Gutierrez,Winger,Liga Portugal,8,11,25.1,12.01,2153
Mr. Scott Miller,Winger,Liga Portugal,16,12,15.65,14.53,1689
Scott Williams,Winger,Liga Portugal,6,11,29.87,13.08,1724
Stephanie Rodriguez,Striker,Liga Portugal,17,4,7.31,5.52,2970
Victoria Cook,Winger,Liga Portugal,14,6,24.51,5.93,2702
Leah White,Winger,Liga Portugal,13,9,21.84,17.94,2210
Ruben Lewis,Winger,Liga Portugal,14,14,24.19,12.49,2162
Thomas Thompson,Striker,Liga Portugal,11,4,12.69,17.79,1577
Michael Everett,Striker,Liga Portugal,8,3,17.3,9.32,3195
Debra Hunt,Winger,Liga Portugal,23,5,24.91,13.44,828
John Robertson,Striker,Liga Portugal,14,14,10.81,11.9,834
Danielle Osborne,Striker,Liga Portugal,7,6,10.65,8.43,2219
Christina Martinez,Winger,Liga Portugal,23,10,18.78,10.99,3470
